2022-06-09 07:30:06.071[1654756206071] | INFO  | main       | s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2022-06-09 07:30:06.104[1654756206104] | INFO  | main       | s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2022-06-09 07:30:06.153[1654756206153] | INFO  | main       | s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2022-06-09 07:30:06.369[1654756206369] | INFO  | main       | c.bitcoinprice.login.DemoApplication - Started DemoApplication in 4.58 seconds (JVM running for 5.334)
2022-06-09 07:31:07.379[1654756267379] | INFO  | main       | c.bitcoinprice.login.DemoApplication - Starting DemoApplication using Java 16.0.1 on Clinton with PID 17940 (C:\Users\Clinton\Documents\GitHub\MastersProject\Masters-Login\target\classes started by Clinton in C:\Users\Clinton\Documents\GitHub\MastersProject\Masters-Login)
2022-06-09 07:31:07.386[1654756267386] | INFO  | main       | c.bitcoinprice.login.DemoApplication - No active profile set, falling back to default profiles: default
2022-06-09 07:31:08.439[1654756268439] | INFO  | main       | o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2022-06-09 07:31:08.519[1654756268519] | INFO  | main       | o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 73 ms. Found 2 MongoDB repository interfaces.
2022-06-09 07:31:09.161[1654756269161] | INFO  | main       | o.s.b.w.e.tomcat.TomcatWebServer     - Tomcat initialized with port(s): 8085 (http)
2022-06-09 07:31:09.172[1654756269172] | INFO  | main       | o.a.coyote.http11.Http11NioProtocol  - Initializing ProtocolHandler ["http-nio-8085"]
2022-06-09 07:31:09.173[1654756269173] | INFO  | main       | o.a.catalina.core.StandardService    - Starting service [Tomcat]
2022-06-09 07:31:09.173[1654756269173] | INFO  | main       | o.a.catalina.core.StandardEngine     - Starting Servlet engine: [Apache Tomcat/9.0.52]
2022-06-09 07:31:09.281[1654756269281] | INFO  | main       | o.a.c.c.C.[Tomcat].[localhost].[/]   - Initializing Spring embedded WebApplicationContext
2022-06-09 07:31:09.281[1654756269281] | INFO  | main       | o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1814 ms
2022-06-09 07:31:09.534[1654756269534] | INFO  | main       | org.mongodb.driver.cluster           - Cluster created with settings {hosts=[127.0.0.1:27017], srvHost=cluster0.kyxidkt.mongodb.net, mode=MULTIPLE, requiredClusterType=REPLICA_SET, serverSelectionTimeout='30000 ms', requiredReplicaSetName='atlas-f2ncas-shard-0'}
2022-06-09 07:31:09.593[1654756269593] | INFO  | cluster-ClusterId{value='62a193ada216ee4b303ee61c', description='null'}-srv-cluster0.kyxidkt.mongodb.net | org.mongodb.driver.cluster           - Adding discovered server ac-6wuhho0-shard-00-02.kyxidkt.mongodb.net:27017 to client view of cluster
2022-06-09 07:31:09.626[1654756269626] | INFO  | cluster-ClusterId{value='62a193ada216ee4b303ee61c', description='null'}-srv-cluster0.kyxidkt.mongodb.net | org.mongodb.driver.cluster           - Adding discovered server ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017 to client view of cluster
2022-06-09 07:31:09.629[1654756269629] | INFO  | cluster-ClusterId{value='62a193ada216ee4b303ee61c', description='null'}-srv-cluster0.kyxidkt.mongodb.net | org.mongodb.driver.cluster           - Adding discovered server ac-6wuhho0-shard-00-00.kyxidkt.mongodb.net:27017 to client view of cluster
2022-06-09 07:31:10.291[1654756270291] | INFO  | cluster-ClusterId{value='62a193ada216ee4b303ee61c', description='null'}-ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:3, serverValue:252892}] to ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017
2022-06-09 07:31:10.291[1654756270291] | INFO  | cluster-rtt-ClusterId{value='62a193ada216ee4b303ee61c', description='null'}-ac-6wuhho0-shard-00-00.kyxidkt.mongodb.net:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:6, serverValue:249507}] to ac-6wuhho0-shard-00-00.kyxidkt.mongodb.net:27017
2022-06-09 07:31:10.291[1654756270291] | INFO  | cluster-ClusterId{value='62a193ada216ee4b303ee61c', description='null'}-ac-6wuhho0-shard-00-02.kyxidkt.mongodb.net:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:4, serverValue:248553}] to ac-6wuhho0-shard-00-02.kyxidkt.mongodb.net:27017
2022-06-09 07:31:10.291[1654756270291] | INFO  | cluster-ClusterId{value='62a193ada216ee4b303ee61c', description='null'}-ac-6wuhho0-shard-00-00.kyxidkt.mongodb.net:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:2, serverValue:249506}] to ac-6wuhho0-shard-00-00.kyxidkt.mongodb.net:27017
2022-06-09 07:31:10.291[1654756270291] | INFO  | cluster-rtt-ClusterId{value='62a193ada216ee4b303ee61c', description='null'}-ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:5, serverValue:252948}] to ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017
2022-06-09 07:31:10.291[1654756270291] | INFO  | cluster-rtt-ClusterId{value='62a193ada216ee4b303ee61c', description='null'}-ac-6wuhho0-shard-00-02.kyxidkt.mongodb.net:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:1, serverValue:248547}] to ac-6wuhho0-shard-00-02.kyxidkt.mongodb.net:27017
